"unique_id","prim_source","borehole","sample_name","test_name","top","bottom","grain_size_curve","mass_fraction_of_gravel_in_soil","mass_fraction_of_sand_in_soil","mass_fraction_of_silt_in_soil","mass_fraction_of_clay_in_soil","mass_fraction_of_fines_in_soil","loss_on_ignition","LL","PL","IP","D10","D50","D60","soil_description","ground_ice_description","soil_group","USCS_symbol_rep_or_calc","sample_mass_init","mass_of_dry_sample","gravimetric_wc_init","gravimetric_wc_fin","sample_volume_init","solid_grain_density_rpt_or_asm","initial_degree_of_saturation_rep","sample_height_ave_or_typ","sample_diameter_ave_or_typ","frozen_bulk_density_rep","frozen_dry_density_calc","final_bulk_density_rep","reported_test_result_type","volumetric_wc_calc","frozen_void_ratio_calc","loading_steps_count","sigma_v_min","sigma_v_max","num_of_swelling_loading_step","swelling_flag","A0","a0","R_sq","Cc","sigma_v_th","e_th","R_sq_semilog","ice_level","phase_change_strain","excess_water_strain","soil_compression_strain_at_100_kpa","total_strain_at_100_kpa","data_quality_flag","note"
"CEN-021","CEN","INU_2014_F2","INU_2014_F2_336-348","INU_2014_F2_336-348",3.36,3.48,TRUE,0.04,64.27,NA,NA,35.68,NA,"12.119","10.437","1.682",0.015,0.115,0.135,NA,NA,"Coarse-grained","SM or SC",1601.66,1288.21,24.33,NA,854.97,2.65,NA,115.1,96.36,1873.4,1506.7,NA,"delta_h-sigma_v",36.6603571141317,0.758698089035978,3,25,100,0,FALSE,8.6,0.0622857142857143,0.882165132165132,-0.146164836175045,4.5331810441222,0.696053292693557,0.971724945624895,"Ice-poor",3.56,0,11.17,14.73,"2",NA
"CEN-022","CEN","INU_2014_F2","INU_2014_F2_381-391","INU_2014_F2_381-391",3.81,3.91,TRUE,0.05,67.48,NA,NA,32.46,NA,"14.18","10.5","3.68",0.012,0.139,0.16,NA,NA,"Coarse-grained","SM or SC",1311.75,1002.81,30.81,NA,729.15,2.65,NA,98.97,96.19,1799,1375.3,NA,"delta_h-sigma_v",42.3722880513722,0.926884380211228,3,25,100,0,FALSE,13.1,0.0468571428571428,0.929885216429263,-0.117928447368502,1,0.822356894737003,0.994672454617206,"Ice-rich",3.97,1.45,12.24,17.66,"2",NA
"CEN-023","CEN","INU_2014_F2","INU_2014_F2_391-398","INU_2014_F2_391-398",3.91,3.98,TRUE,0.25,62.003,NA,NA,37.75,NA,"14.614","11.727","2.887",0.015,0.112,0.132,NA,NA,"Coarse-grained","SM or SC",893.86,685.57,30.38,NA,505.36,2.65,NA,68.84,96.36,1768.8,1356.6,NA,"delta_h-sigma_v",41.2150207086977,0.953341248303935,3,25,100,0,FALSE,19.55,0.0568571428571429,0.973380198603874,-0.142842908080157,1,0.749352482826981,0.999279409115475,"Ice-rich",4.03,6.41,14.63,25.07,"2",NA
"CEN-024","CEN","INU_2014_F2","INU_2014_F2_413-425","INU_2014_F2_413-425",4.13,4.25,TRUE,0.04,92.74,NA,NA,7.22,NA,"22.089","11.727","10.382",0.089,0.21,0.235,NA,NA,"Coarse-grained","SW-SM/SC or SP-SM/SC",1666.02,1370.58,21.56,NA,867.03,2.65,NA,120.87,94.61,1921.5,1580.8,NA,"delta_h-sigma_v",34.0799111549852,0.676471506635441,3,25,100,0,FALSE,7.1,0.0354285714285714,0.815962640628317,-0.0813872383247407,3.15912968881767,0.620616061133432,0.942307692307691,"Ice-poor",3.33,0,7.28,10.61,"2",NA
"CEN-025","CEN","INU_2014_F2","INU_2014_F2_425-437","INU_2014_F2_425-437",4.25,4.37,TRUE,0.004,90.31,NA,NA,9.68,NA,"22.511",NA,NA,0.084,0.201,0.222,NA,NA,"Coarse-grained","SW-SM/SC or SP-SM/SC",1583.28,1292.28,22.52,NA,827.42,2.65,NA,115.12,94.83,1913.5,1561.8,NA,"delta_h-sigma_v",35.1714169115247,0.696775542200157,3,25,100,0,FALSE,8.25,0.0334285714285714,0.730781550288277,-0.0797262742772972,1.79258164240314,0.639243616697392,0.884792626728109,"Ice-poor",3.39,0,8.21,11.6,"2",NA
"CEN-026","CEN","INU_2014_F2","INU_2014_F2_474-484","INU_2014_F2_474-484",4.74,4.84,TRUE,0.05,85.39,NA,NA,14.11,NA,"19.904",NA,NA,0.057,0.214,0.24,NA,NA,"Coarse-grained","SM or SC",1280.62,1042.34,22.86,NA,668.88,2.65,NA,99.46,92.4,1914.6,1558.3,NA,"delta_h-sigma_v",35.6240892072277,0.700506633239319,3,25,100,0,FALSE,40.7,0.0948571428571428,0.799466171521411,-0.219247254262566,1,0.286827841858465,0.927334657961964,"Ice-rich",3.4,20.92,25.79,50.11,"0","Erroneous data (negative values for void ratio)"
"CEN-027","CEN","INU_2014_F2","INU_2014_F2_486-498","INU_2014_F2_486-498",4.86,4.98,TRUE,1.48,76.05,NA,NA,22.47,NA,"14.309","13.583","0.726",0.031,0.232,0.282,NA,NA,"Coarse-grained","SM or SC",1525.07,1287.27,18.47,NA,787.38,2.65,NA,115.31,93.46,1936.9,1634.9,NA,"delta_h-sigma_v",30.1971326074112,0.62086581651092,3,25,100,0,FALSE,13.9,0.0508571428571428,0.939843379212151,-0.10796266308384,1,0.530758659501013,0.996149009745363,"Ice-rich",3.16,2.4,13.32,18.88,"2",NA
"CEN-028","CEN","INU_2017_F1","INU_2017_F1_76-91","INU_2017_F1_76-91",0.76,0.91,TRUE,1.27,43.72,NA,NA,55,NA,"23.019",NA,NA,NA,NA,NA,NA,NA,"Fine-grained","ML",1715.52,1132.26,51.51,NA,1135.42,2.65,NA,143.27,100,1510.9,997.2,NA,"delta_h-sigma_v",51.3672094251205,1.65736647031571,3,25,100,0,FALSE,31.15,0.0362857142857142,0.895856476338593,-0.127894231653164,1,0.990621796639661,0.98010800088164,"Ice-rich",5.15,19.94,9.63,34.72,"1","Variations in reported water content across different sections of the report."
"CEN-029","CEN","INU_2017_F1","INU_2017_F1_95-105","INU_2017_F1_95-105",0.95,1.05,TRUE,0.21,39.1,NA,NA,60.7,NA,"24.811",NA,NA,NA,NA,NA,NA,NA,"Fine-grained","ML",1125,583.08,92.94,NA,916.807,2.65,NA,106.3,101.25,1227.1,636,NA,"delta_h-sigma_v",59.1099170726651,3.16666123380328,3,25,100,0,FALSE,39.05,0.0328571428571428,0.924308079396143,-0.181045081171363,1,1.76725682900939,0.991957029945452,"Ice-rich",6.28,27.31,8.69,42.28,"2",NA
"CEN-030","CEN","INU_2017_F1","INU_2017_F1_112-126","INU_2017_F1_112-126",1.12,1.26,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1834.65,1311.98,39.84,NA,1153.47,2.65,NA,141.63,100.34,1590.5,1137.4,NA,"delta_h-sigma_v",45.3128718535469,1.32993398302421,3,25,100,0,FALSE,22.6,0.0342857142857142,0.936768149882905,-0.104640734988953,1,0.934114803311239,0.995901639344262,"Ice-rich",4.71,12.27,8.98,25.96,"1","Soil type unclear"
