"borehole","prim_source","long","lat","site","source_id","data_source"
"N75-RI-6","NESCL",-127.15,65.333,"Norman Wells, NT","NESCL_1977a","Northern Engineering Services Company Limited: Laboratory Testing for Thaw Slope Stability: Discontinuous Permafrost Zone, Calgary, 1977."
"N75-RZ3-A","NESCL",-136.697,68.815,"Near Whitefish Station, YK","NESCL_1977b","Northern Engineering Services Company Limited: Laboratory Testing Program for Thaw-Slope Stability, Continuous Permafrost Zone, Calgary, 1977."
"N75-RZ33-N","NESCL",-137.75,68.899,"Near Whitefish Station, YK","NESCL_1977b","Northern Engineering Services Company Limited: Laboratory Testing Program for Thaw-Slope Stability, Continuous Permafrost Zone, Calgary, 1977."
"N75-S1-1","NESCL",-140.538,69.574,"Near Yukon-Alaska Border","NESCL_1977b","Northern Engineering Services Company Limited: Laboratory Testing Program for Thaw-Slope Stability, Continuous Permafrost Zone, Calgary, 1977."
"N75-S1-A","NESCL",-140.538,69.574,"Near Yukon-Alaska Border","NESCL_1977b","Northern Engineering Services Company Limited: Laboratory Testing Program for Thaw-Slope Stability, Continuous Permafrost Zone, Calgary, 1977."
"N75-S1-B","NESCL",-140.538,69.574,"Near Yukon-Alaska Border","NESCL_1977b","Northern Engineering Services Company Limited: Laboratory Testing Program for Thaw-Slope Stability, Continuous Permafrost Zone, Calgary, 1977."
"N75-SS-1","NESCL",-128.864,65.664,"North of Mackenzie Mountains, NT","NESCL_1977a","Northern Engineering Services Company Limited: Laboratory Testing for Thaw Slope Stability: Discontinuous Permafrost Zone, Calgary, 1977."
"N75-SS-2","NESCL",-128.864,65.664,"North of Mackenzie Mountains, NT","NESCL_1977a","Northern Engineering Services Company Limited: Laboratory Testing for Thaw Slope Stability: Discontinuous Permafrost Zone, Calgary, 1977."
"N75-SS-3","NESCL",-128.864,65.664,"North of Mackenzie Mountains, NT","NESCL_1977a","Northern Engineering Services Company Limited: Laboratory Testing for Thaw Slope Stability: Discontinuous Permafrost Zone, Calgary, 1977."
"N75-SS-4","NESCL",-128.864,65.664,"North of Mackenzie Mountains, NT","NESCL_1977a","Northern Engineering Services Company Limited: Laboratory Testing for Thaw Slope Stability: Discontinuous Permafrost Zone, Calgary, 1977."
"N75-TSF13-1","NESCL",-120.931,61.551,"East of Sambaa K'e, NT","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977."
"N75-TSF13B-1","NESCL",-120.939,61.55,"East of Sambaa K'e, NT","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977."
"N75-TSF21A-1","NESCL",-120.058,60.483,"South of Sambaa K'e, NT","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977."
