"USCS_symbol_rep_or_calc","test_id","prim_source","test_name","sample_name","borehole","top","bottom","grain_size_curve","mass_fraction_of_gravel_in_soil","mass_fraction_of_sand_in_soil","mass_fraction_of_silt_in_soil","mass_fraction_of_clay_in_soil","mass_fraction_of_fines_in_soil","loss_on_ignition","LL","PL","IP","D10","D50","D60","USCS_symbol_rpt","soil_description","ground_ice_description","soil_group","USCS_symbol_calc","class","sample_mass_init","mass_of_dry_sample","gravimetric_wc_init","gravimetric_wc_fin","sample_volume_init","solid_grain_density_rep","solid_grain_density_rpt_or_asm","initial_degree_of_saturation_rep","frozen_void_ratio_rep","sample_height_ave_or_typ","sample_diameter_ave_or_typ","frozen_bulk_density_rep","frozen_dry_density_calc","final_bulk_density_rep","reported_test_result_type","sigma_v_1","sigma_v_2","sigma_v_3","sigma_v_4","sigma_v_5","sigma_v_6","sigma_v_7","delta_h_1","delta_h_2","delta_h_3","delta_h_4","delta_h_5","delta_h_6","delta_h_7","epsilon_1","epsilon_2","epsilon_3","epsilon_4","epsilon_5","epsilon_6","epsilon_7","e_1","e_2","e_3","e_4","e_5","e_6","e_7","data_quality_flag","note","source_id","data_source","volumetric_wc_calc","frozen_void_ratio_calc","loading_steps_count","sigma_v_min","sigma_v_max","epsilon_1_calc","epsilon_2_calc","epsilon_3_calc","epsilon_4_calc","epsilon_5_calc","epsilon_6_calc","epsilon_7_calc","e_1_calc","e_2_calc","e_3_calc","e_4_calc","e_5_calc","e_6_calc","e_7_calc","phase_change_strain","num_of_swelling_loading_step","swelling_flag","ave_depth","depth_interval_start","depth_interval_end","in_situ_sigma_v","A0","a0","R_sq","Cc","sigma_v_th_init","R_sq_semilog","ice_level","e_th","excess_water_strain","sigma_v_th","soil_compression_strain_at_100_kpa","total_strain_at_100_kpa","epsilon_sigma_v_e_logP_100","epsilon_sigma_v_e_logP_50","epsilon_sigma_v_e_logP_in_situ","group_speer","group_nixon","group_ladanyi","speer_strain","nixon_strain","ladanyi_strain","group_luscher","input_limits","slope_1","intercept_1","slope_2","intercept_2","luscher_strain","slope_1_luscher","slope_2_luscher","intercept_1_luscher","intercept_2_luscher","group_nelson","FDD_min","FDD_max","a1","a2","a3","a4","a5","a6","gs","FDD","porosity","nelson_strain","group_hanna","hanna_strain","slope_1_hanna","slope_2_hanna","intercept_1_hanna","intercept_2_hanna"
"SM","NESCL-065","NESCL","4B-1-10_3","4B-1-10","N75-4B-1",3.63,3.69,FALSE,0,78,20,2,22,NA,"NP","NP","NP",NA,NA,NA,"SM","SAND (fine); little silt, non-plastic, grey, 1/2 in thick ice lense at 12.4'","Nb","Coarse-grained",NA,NA,NA,NA,29.3,NA,NA,NA,2.67,NA,NA,NA,NA,1842.1,1424.67,NA,"strain-sigma_v",6.03,19.58,33.23,73.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,4.9,5.6,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976.",41.7428692962104,0.874116497475707,4,6.03,73.88,1.7,4.9,5.6,6.5,NA,NA,NA,0.842,0.782,0.769,0.752,NA,NA,NA,3.85,1,TRUE,3.66,3.03,3.17,2.52994013999999,4.49324722935056,0.0277863944427211,0.957550826106416,-0.0835361042838213,15.0557705854949,0.949186002444542,"Ice-poor",0.801941740803401,0,15.0557705854949,3.67,7.52,7.51640817240108,6.17460934910404,0.398496920247951,"NO","NO","YES",11.4097462770797,17.7888685589265,11.776557715442,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1424.6713070379,0.466415240809777,6.86189962079704,"Low Plastic Fines",5.87673391337974,0.6111,1.615,-19.8611,-61.538
"SM","NESCL-066","NESCL","4B-1-11_1","4B-1-11","N75-4B-1",4.02,4.08,FALSE,0,70,28,2,30,NA,"NP","NP","NP",NA,NA,NA,"SM","SAND (fine); little silt, non-plastic, grey","Nb","Coarse-grained",NA,NA,NA,NA,27.47,25.17,NA,NA,2.67,NA,NA,NA,NA,1867.8,1465.29,NA,"strain-sigma_v",5.46,18.72,31.79,71.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2.8,3.9,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976.",40.2514050364792,0.822169932540957,4,5.46,71.77,1.8,2.8,3.9,5.2,NA,NA,NA,0.789,0.771,0.751,0.727,NA,NA,NA,3.73,2,TRUE,4.05,3.66,4.05,7.14601601999999,2.24440593116944,0.042253698123092,0.944955654641727,-0.055579180570332,27.2756388830152,0.957415025426483,"Ice-poor",0.754284341780694,0,27.2756388830152,1.72,5.45,5.44651494503091,4.5283239362064,1.9512215842931,"NO","NO","YES",9.9993029488037,16.4603680183263,10.519432064464,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1465.28594963521,0.45120376418157,5.88176812565987,"Low Plastic Fines",4.73653361779242,0.6111,1.615,-19.8611,-61.538
"SM","NESCL-067","NESCL","4B-1-11_2","4B-1-11","N75-4B-1",4.27,4.33,TRUE,0,70,28,1.8,29.8,NA,"Np","NP","Np",0.033,0.073,0.073,"SM","SAND (fine); little silt, non-plastic, grey","Nb","Coarse-grained",NA,NA,NA,NA,28.24,26.88,NA,NA,2.67,NA,NA,NA,NA,1832.5,1428.96,NA,"strain-sigma_v",5.17,18.05,30.83,69.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,2.7,3.9,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976.",40.3538677479726,0.868490040927694,4,5.17,69.38,1.2,2.7,3.9,5.3,NA,NA,NA,0.846,0.818,0.796,0.769,NA,NA,NA,3.84,2,TRUE,4.3,3.66,4.05,7.01096174999999,2.10098409976117,0.0473283248834473,0.944535479002688,-0.0684845358811498,30.0557280271773,0.982890047098335,"Ice-poor",0.796779854062105,0,30.0557280271773,1.91,5.75,5.75138718127807,4.64804174791859,1.52089176560264,"NO","NO","YES",11.9416584435314,18.2914314743349,12.2517182333493,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1428.96132252027,0.464808493438099,6.62651669164383,"Low Plastic Fines",4.79914858078602,0.6111,1.615,-19.8611,-61.538
"SM","NESCL-068","NESCL","4B-1-11_3","4B-1-11","N75-4B-1",4.6,4.66,FALSE,0,70,28,2,30,NA,"NP","NP","NP",NA,NA,NA,"SM","SAND (fine); little silt, non-plastic, grey","Nb","Coarse-grained",NA,NA,NA,NA,33.76,17.44,NA,NA,2.67,NA,NA,NA,NA,1750.8,1308.91,NA,"strain-sigma_v",4.84,17.19,29.69,67.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,8.4,8.9,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976.",44.1888516746411,1.03986291980809,4,4.84,67.32,7.4,8.4,8.9,10.1,NA,NA,NA,0.889,0.869,0.858,0.834,NA,NA,NA,4.21,0,FALSE,4.63,3.66,4.05,6.69838571999999,7.86024320758328,0.0334436985748701,0.997666420346895,-0.0470919192248719,0.230225533925001,0.972033283100989,"Ice-rich",0.923965262341239,1.47,1,4.62,10.3,10.2988045851805,9.60385199290508,7.58845977640089,"NO","NO","YES",16.5845862791374,22.7202007137358,16.4286502976644,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1308.91148325359,0.509770980054836,10.0541390296692,"Low Plastic Fines",9.82699545454545,0.6111,1.615,-19.8611,-61.538
"SM","NESCL-069","NESCL","4B-1-12_1","4B-1-12","N75-4B-1",4.69,4.75,FALSE,0,70,28,2,30,NA,"NP","NP","NP",NA,NA,NA,"SM","SAND (fine); little silt, non-plastic, grey","Nb","Coarse-grained",NA,NA,NA,NA,39.2,32.2,NA,NA,2.67,NA,NA,NA,NA,1728.4,1241.67,NA,"strain-sigma_v",5.36,17.62,29.88,66.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,14.2,14.8,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976.",48.6733333333333,1.1503355704698,4,5.36,66.89,12.6,14.2,14.8,15.9,NA,NA,NA,0.879,0.845,0.832,0.808,NA,NA,NA,4.42,0,FALSE,4.72,4.63,4.72,1.52600436000001,13.6933486804551,0.033394124998993,0.987043480295349,-0.0643805174416494,0.00976105445803333,0.999319267515501,"Ice-rich",0.925916493905923,6.02,1,5.99,16.43,16.4244184162387,15.5231420223376,10.9860291364339,"NO","NO","YES",17.8954344672997,23.9863315971609,17.6190679791382,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1241.66666666667,0.534956304619226,12.5532341477628,"Low Plastic Fines",17.0694333333334,0.6111,1.615,-19.8611,-61.538
"SM","NESCL-070","NESCL","4B-1-12_2","4B-1-12","N75-4B-1",4.88,4.94,FALSE,0,70,28,2,30,NA,"NP","NP","NP",NA,NA,NA,"SM","SAND (fine); little silt, non-plastic, grey","Nb","Coarse-grained",NA,NA,NA,NA,37.4,33.5,NA,NA,2.67,NA,NA,NA,NA,1731.6,1260.26,NA,"strain-sigma_v",5.79,18.86,31.79,71.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,11.8,12.1,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976.",47.1337991266375,1.11860706860707,4,5.79,71.01,10.9,11.8,12.1,12.9,NA,NA,NA,0.888,0.869,0.862,0.845,NA,NA,NA,4.36,0,FALSE,4.91,4.63,4.72,1.52882964000001,11.4178448989945,0.0209309987096542,0.999293350767105,-0.0388508875743183,0.00167240301113808,0.993000812322161,"Ice-rich",0.918369348130298,5.09,1,3.67,13.12,13.1189732982504,12.5669463230111,9.78946204715016,"NO","NO","YES",17.7071338355769,23.8039730497366,17.4477239465612,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1260.26200873362,0.527991757028605,11.8147654254974,"Low Plastic Fines",14.5830855895196,0.6111,1.615,-19.8611,-61.538
"OL","NESCL-071","NESCL","4B-2-4_1","4B-2-4","N75-4B-2",1.46,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OL","SILT and PEAT; alternating thick layers, high organic content","Nb","Peat",NA,NA,NA,NA,426.92,204.6,NA,NA,1.5,99.7,7,NA,NA,986.7,187.26,NA,"strain-sigma_v",5.27,17.81,30.16,67.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.6,57.2,59.4,64.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976.",79.9441972215896,7.01033748859836,4,5.27,67.42,51.6,57.2,59.4,64.8,NA,NA,NA,2.877,2.428,2.252,1.82,NA,NA,NA,7.23,0,FALSE,1.49,0,1.49,14.42249523,54.6480284345093,0.151277534417819,0.998092111071185,-0.93663856932576,0.000904540918891683,0.988426798230582,"Ice-rich",3.58077556349445,35.59,1,23.39,66.21,66.199945649023,62.6800402160225,56.3667121056863,"NO","NO","NO",74.9630243387158,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Organics",400,1100,88.9,-7.8,-0.35,1003.2,104.6,-21.7,2300,187.258027784104,0.875161314810597,47.4125113255142,"Organic Silt",50.9825064040082,1.638,2.446,-86.805,-144.561
"SM","NESCL-072","NESCL","4B-2-4_2","4B-2-4","N75-4B-2",1.86,1.92,TRUE,0,84,12.2,4,16.2,NA,"NP","NP","NP",0.013,0.195,0.22,"SM","SAND (fine); little silt, thin peat layer, grey, non-plastic","Nb","Coarse-grained",NA,NA,NA,NA,37.2,33.8,NA,NA,2.67,NA,NA,NA,NA,1673.9,1220.04,NA,"strain-sigma_v",5.89,19.01,32.08,70.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,16,16.7,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976.",45.3856268221574,1.18844614373619,4,5.89,70.72,14.5,16,16.7,18.2,NA,NA,NA,0.871,0.838,0.823,0.79,NA,NA,NA,4.49,0,FALSE,1.89,0,1.49,24.46722891,15.2736499592213,0.0416964955449983,0.994945494158231,-0.0738249116758753,0.00678958623948411,0.988274349128304,"Ice-rich",0.930253586846779,7.31,1,6.75,18.55,18.5447734870135,17.529280695231,16.4822290482455,"NO","NO","YES",21.1570954677287,27.173346929826,20.6072403138365,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1220.04373177843,0.543054782105459,13.035862835652,"Low Plastic Fines",11.7597873177843,0.6111,1.615,-19.8611,-61.538
"SP-SM","NESCL-073","NESCL","4B-2-6","4B-2-6","N75-4B-2",2.47,2.53,TRUE,0,83,5,2,7,NA,"NP","NP","NP",0.07,0.145,0.17,"SP-SM","SAND (fine); trace medium sand, trace silt, grey, non-plastic","Nb","Coarse-grained",NA,NA,NA,NA,29,27.4,NA,NA,2.67,NA,NA,NA,NA,1834.1,1421.78,NA,"strain-sigma_v",5.75,18.82,31.89,70.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,9.7,10,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976.",41.2317054263566,0.877923777329481,4,5.75,70.86,9.2,9.7,10,10.5,NA,NA,NA,0.705,0.696,0.69,0.681,NA,NA,NA,3.86,0,FALSE,2.5,1.89,2.5,10.97543781,9.46735610044589,0.0147892711907735,0.9814945099036,-0.0219308695709433,0.000166077070958453,0.987312291848113,"Ice-rich",0.722542762602478,4.41,1,2.34,10.61,10.6097359367921,10.2581854824261,9.48911626982935,"NO","NO","YES",11.8528131861603,18.2074266793563,12.1723095244673,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1421.78294573643,0.467497024068751,6.87337305643675,"Low Plastic Fines",5.33559518604651,0.6111,1.615,-19.8611,-61.538
"SP-SM","NESCL-074","NESCL","4B-2-7","4B-2-7","N75-4B-2",2.71,2.77,FALSE,0,83,5,2,7,NA,"NP","NP","NP",NA,NA,NA,"SP-SM","SAND (fine); trace medium sand, trace silt, grey, non-plastic","Nb","Coarse-grained",NA,NA,NA,NA,26.2,NA,NA,NA,2.67,NA,NA,NA,NA,1882.2,1491.44,NA,"strain-sigma_v",5.36,17.72,30.07,66.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,5.6,6,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976.",39.0757844690967,0.790213579853363,4,5.36,66.84,4.3,5.6,6,6.5,NA,NA,NA,0.713,0.69,0.683,0.674,NA,NA,NA,3.65,0,FALSE,2.74,2.5,2.74,4.43145168,5.37461015664293,0.0172395492460195,0.954293835435607,-0.0359100580517935,2.22061241387263,0.980711732576338,"Ice-poor",0.724966587021434,0,2.22061241387263,3.32,6.97,6.96147394332611,6.35763511977578,4.24656821337283,"NO","NO","YES",9.21747510594835,15.7263806725429,9.82423927887393,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1491.44215530903,0.441407432468527,5.2799889297967,"Low Plastic Fines",4.01811188906498,0.6111,1.615,-19.8611,-61.538
"SP-SM","NESCL-075","NESCL","4B-2-8_1","4B-2-8","N75-4B-2",3.32,3.38,FALSE,0,88,10,2,12,NA,"NP","NP","NP",NA,NA,NA,"SP-SM","SAND (fine); trace medium sand, trace silt, grey, non-plastic, fine sand and medium sand below 11.0'","Nb","Coarse-grained",NA,NA,NA,NA,28,NA,NA,NA,2.67,NA,NA,NA,NA,1882.2,1470.47,NA,"strain-sigma_v",1.24,2.73,5.55,11.25,22.65,35.1,67.51,NA,NA,NA,NA,NA,NA,NA,1.3,2.2,2.5,3,3.4,3.6,4,NA,NA,NA,NA,NA,NA,NA,"2","","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976.",41.173125,0.815747529486771,7,1.24,67.51,1.3,2.2,2.5,3,3.4,3.6,4,0.792,0.776,0.77,0.761,0.754,0.75,0.743,3.71,6,TRUE,3.35,2.74,3.35,11.26327302,3.11688976006254,0.0131672578621457,0.996244135034134,-0.0269224988791749,37.7521717035479,0.983141491624962,"Ice-poor",0.748392228886946,0,37.7521717035479,0.63,4.34,4.33678578537657,3.89044180917673,2.93066747762148,"NO","NO","YES",9.21747510594835,15.7263806725429,9.82423927887393,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1470.46875,0.449262640449438,5.87972969062799,"Low Plastic Fines",5.2997966875,0.6111,1.615,-19.8611,-61.538
"SP-SM","NESCL-076","NESCL","4B-2-8_2","4B-2-8","N75-4B-2",3.54,3.6,TRUE,0,88,10.5,1.5,12,NA,"NP","NP","NP",0.047,0.155,0.18,"SP-SM","SAND (fine); trace medium sand, trace silt, grey, non-plastic, fine sand and medium sand below 11.0'","Nb","Coarse-grained",NA,NA,NA,NA,25.3,NA,NA,NA,2.67,NA,NA,NA,NA,1928.6,1539.19,NA,"strain-sigma_v",5.55,18.15,30.88,68.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,3.8,3.9,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976.",38.9414046288907,0.734683189878669,4,5.55,68.47,2.4,3.8,3.9,4.5,NA,NA,NA,0.693,0.669,0.667,0.657,NA,NA,NA,3.5,1,TRUE,3.57,2.74,3.35,11.54093526,3.50354545426656,0.0143775628697899,0.987220308167398,-0.0325266317412005,17.9710159708112,0.952215748363746,"Ice-poor",0.674021275118045,0,17.9710159708112,1.4,4.9,4.89473563848113,4.33028145634875,3.13636605974108,"NO","NO","YES",6.73833505861583,13.4091437311215,7.62665187546814,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1539.18595371109,0.423525860033299,4.51819389229671,"Low Plastic Fines",3.93599236871508,0.6111,1.615,-19.8611,-61.538
"PT","NESCL-077","NESCL","4D-1-2_1","4D-1-2","N75-4D-1",0.7,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PT","PEAT; dark brown, strong odour","Vr 5%","Peat",NA,NA,NA,NA,421.2,296.7,NA,NA,1.5,NA,6.87,NA,NA,989.9,189.93,NA,"strain-sigma_v",4.84,17.09,29.45,66.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,21.2,27.6,38.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976.",79.9972908672295,6.8977674512577,4,4.84,66.65,13.1,21.2,27.6,38.4,NA,NA,NA,5.863,5.223,4.718,3.865,NA,NA,NA,7.21,0,FALSE,0.715,0,0.715,6.943307085,16.4676840571556,0.333924797495654,0.981873228655976,-1.73095374285876,3.0723730897092,0.962592889185387,"Ice-poor",6.32822701950248,0,3.0723730897092,33.15,40.36,40.3614448566441,33.7637702489378,14.9720543214795,"NO","NO","NO",74.633407537539,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,189.927091327705,0.873381939114863,NA,"Peat",34.9587334458941,1.944,3.25,-120.556,-225
"PT","NESCL-078","NESCL","4D-1-2_2","4D-1-2","N75-4D-1",0.82,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PT","PEAT; dark brown, strong odour","Vr 15%","Peat",NA,NA,NA,NA,846.3,317.1,NA,NA,1.5,84.7,16.33,NA,NA,812.1,85.82,NA,"strain-sigma_v",5.17,18,30.55,68.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3,50.2,54.2,60.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976.",72.6281549191588,16.4787587735501,4,5.17,68.52,43.3,50.2,54.2,60.4,NA,NA,NA,8.91,7.704,7.005,5.922,NA,NA,NA,7.79,0,FALSE,0.835,0,0.715,5.696191215,47.4048407973053,0.19292284622947,0.974983468932453,-2.64974961420601,0.0253545118017154,0.991330571020039,"Ice-rich",10.8892733366592,24.19,1,30.32,62.3,62.2983863235231,57.7348236288875,43.4332633726127,"NO","NO","NO",94.787816598026,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,85.8184508084117,0.942787699461059,NA,"Peat",20.6331331628448,1.944,3.25,-120.556,-225
"OL","NESCL-079","NESCL","4D-1-4_1","4D-1-4","N75-4D-1",1.68,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OL","ORGANIC SILT; some sand, dark brown grey","Vr 10%","Fine-grained",NA,NA,NA,NA,72.8,65.8,NA,NA,2.67,NA,NA,NA,NA,1387.2,802.78,NA,"strain-sigma_v",5.12,17.52,29.88,66.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,13.5,14.6,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976.",58.4422222222222,2.32595155709343,4,5.12,66.84,11.2,13.5,14.6,17.2,NA,NA,NA,1.953,1.877,1.84,1.754,NA,NA,NA,5.78,0,FALSE,1.71,0.835,1.71,11.907378,12.2841833276238,0.0739447655560981,0.997455485739545,-0.174574724278508,0.526543034860206,0.977536779006478,"Ice-rich",2.08526990615324,1.46,1,10.5,17.74,17.7342059669884,16.1541400041959,12.8832891788361,"NO","NO","NO",40.2821501069065,47.7256374619321,39.4476125762875,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Organics",400,1100,88.9,-7.8,-0.35,1003.2,104.6,-21.7,2300,802.777777777778,0.6993341656263,24.2192814786823,"Organic Silt",8.92335999999999,1.638,2.446,-86.805,-144.561
"SM","NESCL-080","NESCL","4D-1-4_2","4D-1-4","N75-4D-1",1.92,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SM","SAND and SILT; high organic content","Vr 10%","Coarse-grained",NA,NA,NA,NA,56.3,50.6,NA,NA,2.67,NA,NA,NA,NA,1563.4,1000.26,NA,"strain-sigma_v",5.17,18.39,31.6,71.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,10.9,11.9,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976.",56.3144081893794,1.66931687348087,4,5.17,71.15,8.7,10.9,11.9,14.2,NA,NA,NA,1.437,1.378,1.352,1.29,NA,NA,NA,5.17,0,FALSE,1.95,0.835,1.71,13.41983475,9.84853413649557,0.0615353936809748,0.996755178097948,-0.126277089698881,1.01893616394265,0.981241085526421,"Ice-poor",1.53148337016594,0,1.01893616394265,9.42,14.59,14.5864625555293,13.1623831537105,10.460105351636,"NO","NO","YES",28.1093530333433,34.1909074074842,27.1375337546005,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,7.91112399999999,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1000.25591810621,0.625372315316028,23.1664453339279,"Low Plastic Fines",29.4097692258477,0.6111,1.615,-19.8611,-61.538
"SM","NESCL-081","NESCL","4D-1-5_1","4D-1-5","N75-4D-1",2.32,2.35,TRUE,0,85,11,4,15,NA,NA,NA,NA,0.014,0.2,0.23,"SM","SAND; medium and fine sand, little silt, gret","Vr 10%","Coarse-grained",NA,NA,NA,NA,38.6,37.1,NA,NA,2.67,NA,NA,NA,NA,1723.6,1243.58,NA,"strain-sigma_v",5.22,18.19,31.22,70.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976.",48.0021356421356,1.14702947319564,4,5.22,70.1,8,10,11,13,NA,NA,NA,0.975,0.932,0.911,0.868,NA,NA,NA,4.41,0,FALSE,2.335,1.95,2.335,6.50977866,9.0891953293212,0.0563334784707256,0.991952079471664,-0.0933517446361922,0.847306417336597,0.98633842530421,"Ice-rich",1.04560307233949,0.31,1,8.7,13.42,13.4199317580712,12.1110687157194,8.26137830429356,"NO","NO","YES",18.1785400958782,24.2608178937401,17.8769041238413,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1243.57864357864,0.534240208397512,12.4371850361939,"Low Plastic Fines",15.9854490620491,0.6111,1.615,-19.8611,-61.538
