test_id,prim_source,test_name,sample_name,borehole,top,bottom,grain_size_curve,mass_fraction_of_gravel_in_soil,mass_fraction_of_sand_in_soil,mass_fraction_of_silt_in_soil,mass_fraction_of_clay_in_soil,mass_fraction_of_fines_in_soil,loss_on_ignition,LL,PL,IP,D10,D50,D60,USCS_symbol_rpt,soil_description,ground_ice_description,soil_group,USCS_symbol_calc,USCS_symbol_rep_or_calc,class,sample_mass_init,mass_of_dry_sample,gravimetric_wc_init,gravimetric_wc_fin,sample_volume_init,solid_grain_density_rep,solid_grain_density_rpt_or_asm,initial_degree_of_saturation_rep,frozen_void_ratio_rep,sample_height_ave_or_typ,sample_diameter_ave_or_typ,frozen_bulk_density_rep,frozen_dry_density_calc,final_bulk_density_rep,reported_test_result_type,sigma_v_1,sigma_v_2,sigma_v_3,sigma_v_4,sigma_v_5,sigma_v_6,sigma_v_7,delta_h_1,delta_h_2,delta_h_3,delta_h_4,delta_h_5,delta_h_6,delta_h_7,epsilon_1,epsilon_2,epsilon_3,epsilon_4,epsilon_5,epsilon_6,epsilon_7,e_1,e_2,e_3,e_4,e_5,e_6,e_7,data_quality_flag,note,source_id,data_source
CEN-100,CEN,WB_2014_F2_281-296,WB_2014_F2_281-296,WB_2014_F2,2.81,2.96,TRUE,12,51.26,NA,NA,36.74,NA,NA,NA,NA,0.012,0.165,0.282,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,2294.4,1948.06,17.78,NA,1171.12,NA,2.65,NA,NA,150.78,98.67,1959.2,1663.4,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,27.86,29.62,31.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Higher than 5% fine without LL and PL Data,CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
CEN-101,CEN,WB_2014_F2_343-354,WB_2014_F2_343-354,WB_2014_F2,3.43,3.54,TRUE,1.24,34.89,NA,NA,63.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fine-grained,CH/CL/MH/ML,ML or CL,,1840,1558.93,18.03,NA,942.29,NA,2.65,NA,NA,114.87,100.06,1952.7,1654.4,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,4.99,6.31,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Higher than 50% fine without LL and PL Data,CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
CEN-102,CEN,WB_2017_F1_122-135,WB_2017_F1_122-135,WB_2017_F1,1.22,1.35,TRUE,9.76,63.94,NA,NA,26.3,NA,23.247,NA,NA,0.024,0.135,0.168,SM,NA,NA,Coarse-grained,SM or SC,SM,,1070.35,327.66,226.66,NA,985.943,NA,2.65,NA,NA,125.52,98.81,1085.6,332.3,NA,delta_h-sigma_v,25,50,NA,NA,NA,NA,NA,75.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,only one reading point,CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
CEN-103,CEN,WB_2017_F1_205-220,WB_2017_F1_205-220,WB_2017_F1,2.05,2.2,TRUE,24.04,53.26,NA,NA,22.7,NA,24.021,NA,NA,0.031,0.181,0.269,SM,NA,NA,Coarse-grained,SM or SC,SM,,1536.55,760.19,102.13,NA,1172.12,NA,2.65,NA,NA,140.54,101,1310.9,648.6,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,80.35,82.4,83.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
CEN-104,CEN,WB_2017_F1_285-297,WB_2017_F1_285-297,WB_2017_F1,2.85,2.97,TRUE,51.2,24.38,NA,NA,24.4,NA,NA,NA,NA,0.01,4.978,12.296,GM,NA,NA,Coarse-grained,GM or GC,GM,,1055.66,362.16,191.49,NA,923.659,NA,2.65,NA,NA,115.98,100,1142.9,392.1,NA,delta_h-sigma_v,25,50,NA,NA,NA,NA,NA,63.49,67.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Only two reading points. Higher than 5% fine without LL and PL Data, Contradiction between settlement data from annex  B and C",CEN_2020e,"Chiasson, A., Allard, M., St-amour, A. B., Mathon-Dufour, V., Aubé-michaud, S., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kangiqsujuaq, Québec, 109 pp., 2020."
CEN-105,CEN,KUU_2014_F1_58-72,KUU_2014_F1_58-72,KUU_2014_F1,0.58,0.72,TRUE,3.51,70.43,NA,NA,26.06,NA,NA,NA,NA,0.018,0.306,0.391,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1910,1563.76,22.14,NA,1000.79,NA,2.65,NA,NA,138.17,95.58,1908.5,1562.5,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,30.06,30.94,31.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Higher than 5% fine without LL and PL Data,CEN_2020d,"Chiasson, A., Allard, M., Aubé-michaud, S., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kuujjuaq, Québec, 96 pp., 2020."
CEN-106,CEN,KUU_2014_F1_80-94,KUU_2014_F1_80-94,KUU_2014_F1,0.8,0.94,TRUE,0.73,74.46,NA,NA,24.81,NA,15.937,NA,NA,0.02,0.244,0.322,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1693,1465.06,15.56,NA,837.98,NA,2.65,NA,NA,136.93,88.44,2020.3,1748.3,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,32.55,34.75,37.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020d,"Chiasson, A., Allard, M., Aubé-michaud, S., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kuujjuaq, Québec, 96 pp., 2020."
CEN-107,CEN,KUU_2014_F1_118-131,KUU_2014_F1_118-131,KUU_2014_F1,1.18,1.31,TRUE,0.28,93.82,NA,NA,5.9,NA,NA,NA,NA,0.129,0.346,0.386,inconclusive,NA,NA,Coarse-grained,SW-SM/SC or SP-SM/SC,SW-SM/SC or SP-SM/SC,,1573.73,1283.32,22.63,NA,859.89,NA,2.65,NA,NA,118.42,95.59,1830.2,1492.4,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,10.85,13.93,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Higher than 5% fine without LL and PL Data,CEN_2020d,"Chiasson, A., Allard, M., Aubé-michaud, S., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kuujjuaq, Québec, 96 pp., 2020."
CEN-108,CEN,KUU_2014_F1_198-214,KUU_2014_F1_198-214,KUU_2014_F1,1.98,2.14,TRUE,0.31,51.68,NA,NA,48,NA,16.957,15.787,1.17,0.01,0.081,0.11,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1882.41,1419.29,32.63,NA,1207.03,NA,2.65,NA,NA,139.37,99.01,1559.5,1175.9,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,29.32,30.93,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020d,"Chiasson, A., Allard, M., Aubé-michaud, S., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kuujjuaq, Québec, 96 pp., 2020."
CEN-109,CEN,KUU_2014_F1_221-235,KUU_2014_F1_221-235,KUU_2014_F1,2.21,2.35,TRUE,0.12,60.16,NA,NA,39.73,NA,17.266,NA,NA,0.014,0.114,0.151,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1787,1303.87,37.05,NA,1057.86,NA,2.65,NA,NA,145.21,96.01,1689.3,1232.6,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,45.16,46.19,47.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020d,"Chiasson, A., Allard, M., Aubé-michaud, S., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kuujjuaq, Québec, 96 pp., 2020."
CEN-110,CEN,KUU_2014_F1_235-250,KUU_2014_F1_235-250,KUU_2014_F1,2.35,2.5,TRUE,0.26,47.15,NA,NA,52.59,NA,17.814,NA,NA,NA,NA,NA,inconclusive,NA,NA,Fine-grained,ML or CL,ML or CL,,1868,1391.31,34.26,NA,1091.16,NA,2.65,NA,NA,148.2,96.27,1711.9,1275.1,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,42.38,43.99,45.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020d,"Chiasson, A., Allard, M., Aubé-michaud, S., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kuujjuaq, Québec, 96 pp., 2020."
CEN-111,CEN,KUU_2014_F1_258-273,KUU_2014_F1_258-273,KUU_2014_F1,2.58,2.73,TRUE,0.01,43.22,NA,NA,56.76,NA,19.68,13.817,5.863,NA,NA,NA,CL+ML,NA,NA,Fine-grained,CL+ML,CL+ML,,1916,1378.45,39,NA,1201.14,NA,2.65,NA,NA,151.81,99.92,1595.2,1147.6,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,42.96,44.57,46.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020d,"Chiasson, A., Allard, M., Aubé-michaud, S., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kuujjuaq, Québec, 96 pp., 2020."
CEN-112,CEN,KUU_2014_F1_293-301,KUU_2014_F1_293-301,KUU_2014_F1,2.93,3.01,TRUE,1.77,36.74,NA,NA,61.49,NA,20.001,13.853,6.148,NA,NA,NA,CL+ML,NA,NA,Fine-grained,CL+ML,CL+ML,,979,649.89,50.64,NA,638.84,NA,2.65,NA,NA,86.25,97.08,1532.5,1017.3,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,36,37,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020d,"Chiasson, A., Allard, M., Aubé-michaud, S., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kuujjuaq, Québec, 96 pp., 2020."
CEN-113,CEN,KUU_2014_F2_65-79,KUU_2014_F2_65-79,KUU_2014_F2,0.65,0.79,FALSE,0,2.21,NA,NA,97.79,NA,24.045,13.817,10.228,NA,NA,NA,CL,NA,NA,Fine-grained,CL,CL,,1010.14,317.18,218.48,NA,989.29,NA,2.65,NA,NA,135.97,95.55,1021.1,320.6,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,51.9,60.99,69.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020d,"Chiasson, A., Allard, M., Aubé-michaud, S., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kuujjuaq, Québec, 96 pp., 2020."
CEN-114,CEN,KUU_2014_F2_79-93,KUU_2014_F2_79-93,KUU_2014_F2,0.79,0.93,TRUE,0,60.97,NA,NA,39.03,NA,75.806,NA,NA,0.02,0.107,0.147,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1254,569.25,120.29,NA,1062.67,NA,2.65,NA,NA,139.4,98.05,1180,535.7,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,41.05,48.38,55.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020d,"Chiasson, A., Allard, M., Aubé-michaud, S., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kuujjuaq, Québec, 96 pp., 2020."
CEN-115,CEN,KUU_2014_F2_97-112,KUU_2014_F2_97-112,KUU_2014_F2,0.97,1.12,TRUE,0.02,49.19,NA,NA,50.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fine-grained,CH/CL/MH/ML,ML or CL,,1067,293.04,264.11,NA,1085.8,NA,2.65,NA,NA,144.99,96.51,982.7,269.9,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,83.28,89.15,94.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Higher than 50% fine without LL and PL Data,CEN_2020d,"Chiasson, A., Allard, M., Aubé-michaud, S., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kuujjuaq, Québec, 96 pp., 2020."
CEN-116,CEN,KUU_2014_F2_113-130,KUU_2014_F2_113-130,KUU_2014_F2,1.13,1.3,TRUE,0,81.43,NA,NA,18.57,NA,42.465,NA,NA,0.034,0.223,0.275,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1438.79,851.4,68.99,NA,1250.01,NA,2.65,NA,NA,137.38,99.29,1151,681.1,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,41.2,44.72,47.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020d,"Chiasson, A., Allard, M., Aubé-michaud, S., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kuujjuaq, Québec, 96 pp., 2020."
CEN-117,CEN,KUU_2014_F2_135-148,KUU_2014_F2_135-148,KUU_2014_F2,1.35,1.48,FALSE,0,64.6,NA,NA,35.4,NA,50.368,NA,NA,NA,NA,NA,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1375.54,797.78,72.42,NA,1000.8,NA,2.65,NA,NA,129.31,98.99,1374.4,797.1,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,29.77,33.43,37.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020d,"Chiasson, A., Allard, M., Aubé-michaud, S., St-amour, A. B., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Kuujjuaq, Québec, 96 pp., 2020."
